Id_precio,grupo_m,caracteristicas_m,consecutivo_m,precio,id_unidad,Comentarios,id_proveedores
1,LAM,361800,001,0,0022,,0001
2,LAM,361800,002,0,0022,,0001
3,LAM,361800,003,104600,0022,,0001
4,LAM,361800,004,152500,0022,,0001
5,LAM,363160,001,0,0022,,0001
6,LAM,363160,002,0,0022,,0001
7,LAM,363160,003,150000,0022,,0001
8,LAM,363160,004,220000,0022,,0001
9,LAM,361400,001,0,0022,,0001
10,LAM,361400,002,0,0022,,0001
11,LAM,361400,003,0,0022,,0001
12,LAM,361400,004,0,0022,,0001
13,LAM,361400,005,0,0022,,0001
14,LAM,361400,006,0,0022,,0001
15,LAM,361400,007,180000,0022,,0001
16,LAM,361400,008,290000,0022,,0001
17,LAM,361400,009,540000,0022,,0001
18,LAM,361400,010,740000,0022,,0001
19,LAM,361400,011,0,0022,,0001
20,LAM,361400,012,0,0022,,0001
21,LAM,365160,001,0,0022,,0001
22,LAM,365160,002,0,0022,,0001
23,LAM,365160,003,0,0022,,0001
24,LAM,365160,004,0,0022,,0001
25,LAM,365160,005,0,0022,,0001
26,LAM,365160,006,0,0022,,0001
27,LAM,365160,007,290000,0022,,0001
28,LAM,365160,008,332000,0022,,0001
29,LAM,365160,009,870000,0022,,0001
30,LAM,365160,010,926000,0022,,0001
31,LAM,365160,011,1580000,0022,,0001
32,LAM,365160,012,0,0022,,0001
33,LAM,363800,001,0,0022,,0001
34,LAM,363800,002,0,0022,,0001
35,LAM,363800,003,0,0022,,0001
36,LAM,363800,004,0,0022,,0001
37,LAM,363800,005,0,0022,,0001
38,LAM,363800,006,0,0022,,0001
39,LAM,363800,007,480000,0022,,0001
40,LAM,363800,008,412000,0022,,0001
41,LAM,363800,009,920000,0022,,0001
42,LAM,363800,010,960000,0022,,0001
43,LAM,363800,011,1600000,0022,,0001
44,LAM,363800,012,1680000,0022,,0001
45,LAM,361200,001,480000,0022,,0001
46,LAM,361200,002,582000,0022,,0001
47,LAM,361200,003,1300000,0022,,0001
48,LAM,361200,004,1360000,0022,,0001
49,LAM,361200,005,0,0022,,0001
50,LAM,361200,006,0,0022,,0001
51,LAM,365800,001,700000,0022,,0001
52,LAM,365800,002,780000,0022,,0001
53,LAM,365800,003,0,0022,,0001
54,LAM,365800,004,0,0022,,0001
55,LAM,365800,005,0,0022,,0001
56,LAM,365800,006,0,0022,,0001
57,LAM,363400,001,0,0022,,0001
58,LAM,363400,002,0,0022,,0001
59,LAM,363400,003,0,0022,,0001
60,LAM,363400,004,0,0022,,0001
61,LAM,363400,005,0,0022,,0001
62,LAM,363400,006,0,0022,,0001
63,LAM,360100,001,0,0022,,0001
64,LAM,360100,002,0,0022,,0001
65,LAM,360100,003,0,0022,,0001
66,LAM,360100,004,0,0022,,0001
67,LAM,360100,005,0,0022,,0001
68,LAM,360100,006,0,0022,,0001
69,LAM,360010,001,0,0022,,0001
